Target Type;Major Category;Minor Category;Anatomic Group;TG263-Primary Name;Description
Anatomic;Artery;Aorta;Thorax;A_Aorta;Aorta
Anatomic;Artery;Aorta;Thorax;A_Aorta_Asc;Ascending Aorta
Anatomic;Artery;Brachiocephalic;Thorax;A_Brachiocephls;Brachiocephalic Artery
Anatomic;Artery;Carotid;Head and Neck;A_Carotid;Common Carotid Artery
Anatomic;Artery;Carotid;Head and Neck;A_Carotid_L;Carotid Artery
Anatomic;Artery;Carotid;Head and Neck;A_Carotid_R;Carotid Artery
Anatomic;Artery;Celiac;Abdomen;A_Celiac;Celiac Artery
Anatomic;Artery;Coronary;Head and Neck;A_Coronary;Coronary Artery
Anatomic;Artery;Coronary;Thorax;A_Coronary_L;Coronary Artery Left
Anatomic;Artery;Coronary;Thorax;A_Coronary_R;Coronary Artery Right
Anatomic;Artery;Femoral;Limb;A_Femoral_Cflx_L;Circumflex Left Femoral Artery
Anatomic;Artery;Femoral;Limb;A_Femoral_Cflx_R;Circumflex Right Femoral Artery
Anatomic;Artery;Femoral;Limb;A_Femoral_L;Femoral Artery Left
Anatomic;Artery;Femoral;Limb;A_Femoral_R;Femoral Artery Right
Anatomic;Artery;Humeral;Limb;A_Humeral_Cflx_L;Circumflex Humeral Artery Left
Anatomic;Artery;Humeral;Limb;A_Humeral_Cflx_R;Circumflex Humeral Artery Right
Anatomic;Artery;Humeral;Limb;A_Humeral_L;Humeral Artery Left
Anatomic;Artery;Humeral;Limb;A_Humeral_R;Humeral Artery Right
Anatomic;Artery;Hypophyseal;Head and Neck;A_Hypophyseal_I;Hypophyseal Artery Inferior
Anatomic;Artery;Hypophyseal;Head and Neck;A_Hypophyseal_S;Hypophyseal Artery Superior
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Cflx_L;Circumflex Left Iliac Artery
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Cflx_R;Circumflex Right Iliac Artery
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Ext_L;External iliac artery Left
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Ext_R;External iliac artery Right
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Int_L;Internal iliac artery Left
Anatomic;Artery;Iliac;Pelvis;A_Iliac_Int_R;Internal iliac artery Right
Anatomic;Artery;Iliac;Pelvis;A_Iliac_L;Common iliac artery Left
Anatomic;Artery;Iliac;Pelvis;A_Iliac_R;Common iliac artery Right
Anatomic;Artery;LAD;Thorax;A_LAD;Anterior interventricular branch of LCA
(left anterior descending artery);;;;;
Anatomic;Artery;Mesenteric;Abdomen;A_Mesenteric_I;Inferior mesenteric artery
Anatomic;Artery;Mesenteric;Abdomen;A_Mesenteric_S;Superior mesenteric artery
Anatomic;Artery;Pulmonary;Thorax;A_Pulmonary;Pulmonary Artery
